City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Vardo,NO,2022-02-01 20:24:30,70.3705,31.1107,24.78,80,0,6.91,clear sky
162,Batagay-Alyta,RU,2022-02-01 20:25:02,67.8006,130.4114,-10.53,99,100,1.41,overcast clouds
163,Egvekinot,RU,2022-02-01 20:25:02,66.3167,-179.1667,-3.75,78,98,16.4,overcast clouds
164,Grindavik,IS,2022-02-01 20:25:03,63.8424,-22.4338,32.47,93,75,9.22,light snow
165,Mahebourg,MU,2022-02-01 20:25:03,-20.4081,57.7,79.09,94,75,19.57,light intensity shower rain
166,Kavieng,PG,2022-02-01 20:25:04,-2.5744,150.7967,78.57,83,100,7.47,light rain
167,Aklavik,CA,2022-02-01 20:25:04,68.2191,-135.0107,-10.37,76,75,2.3,broken clouds
168,Mogadishu,SO,2022-02-01 20:25:04,2.0371,45.3438,78.39,87,100,20.13,overcast clouds
169,Miri,MY,2022-02-01 20:25:05,4.4148,114.0089,77.14,94,40,0.0,scattered clouds
170,Tabora,TZ,2022-02-01 20:25:05,-5.0167,32.8,62.53,95,100,0.89,overcast clouds
171,Longyearbyen,SJ,2022-02-01 20:21:39,78.2186,15.6401,22.84,58,40,4.61,scattered clouds
172,Maturin,VE,2022-02-01 20:25:05,9.75,-63.1767,86.18,48,91,8.79,overcast clouds
173,Phalaborwa,ZA,2022-02-01 20:25:06,-23.943,31.1411,76.28,66,0,2.04,clear sky
174,Daru,PG,2022-02-01 20:25:06,-9.0763,143.2092,75.15,91,100,11.05,overcast clouds
175,Fortuna,US,2022-02-01 20:24:26,40.5982,-124.1573,51.93,56,0,11.01,clear sky
176,Narsaq,GL,2022-02-01 20:25:06,60.9167,-46.05,17.82,89,63,3.38,broken clouds
177,Walvis Bay,NA,2022-02-01 20:25:07,-22.9575,14.5053,70.09,79,35,5.21,scattered clouds
178,Karratha,AU,2022-02-01 20:25:07,-20.7377,116.8463,83.98,72,88,7.09,overcast clouds
179,Torbay,CA,2022-02-01 20:25:07,47.6666,-52.7314,26.38,57,40,16.11,scattered clouds
180,Hofn,IS,2022-02-01 20:25:08,64.2539,-15.2082,23.86,59,15,7.85,few clouds
181,Temiscaming,CA,2022-02-01 20:21:18,46.7212,-79.0971,38.68,55,100,20.71,overcast clouds
182,Hervey Bay,AU,2022-02-01 20:20:41,-25.2986,152.8535,78.04,79,100,11.77,overcast clouds
183,Vlissingen,NL,2022-02-01 20:26:08,51.4425,3.5736,51.03,85,75,19.57,broken clouds
184,Naze,JP,2022-02-01 20:26:09,28.3667,129.4833,55.63,71,100,10.74,overcast clouds
185,Galle,LK,2022-02-01 20:26:09,6.0367,80.217,73.09,86,6,6.04,clear sky
186,Ust-Omchug,RU,2022-02-01 20:26:09,61.15,149.6333,-16.4,99,84,5.53,broken clouds
187,Nouadhibou,MR,2022-02-01 20:26:09,20.931,-17.0347,73.38,56,100,10.36,overcast clouds
188,Nuuk,GL,2022-02-01 20:26:10,64.1835,-51.7216,9.21,72,100,9.22,overcast clouds
189,Aktau,KZ,2022-02-01 20:26:10,43.65,51.2,28.98,77,0,9.91,clear sky
190,Sal Rei,CV,2022-02-01 20:26:11,16.1833,-22.9167,73.96,81,100,9.37,overcast clouds
191,Tura,IN,2022-02-01 20:26:11,25.5198,90.2201,52.38,75,3,4.47,clear sky
192,Curitibanos,BR,2022-02-01 20:26:11,-27.2828,-50.5844,85.84,26,13,2.62,few clouds
193,Belica,BG,2022-02-01 20:26:11,41.9569,23.5725,34.81,79,100,2.62,snow
194,Rey Bouba,CM,2022-02-01 20:26:12,8.6724,14.1786,73.18,14,6,3.74,clear sky
195,Majene,ID,2022-02-01 20:26:12,-3.5403,118.9707,78.42,83,100,4.45,overcast clouds
196,Khagaria,IN,2022-02-01 20:26:12,25.5,86.4833,55.35,69,0,4.83,clear sky
197,Marquette,US,2022-02-01 20:26:13,46.5333,-87.6335,36.84,81,100,14.29,overcast clouds
198,Bara,NG,2022-02-01 20:26:13,10.3744,10.7288,68.74,20,0,8.99,clear sky
199,Sorland,NO,2022-02-01 20:26:13,67.667,12.6934,28.47,56,100,21.25,overcast clouds
200,Nioro,GM,2022-02-01 20:26:14,13.35,-15.75,89.11,11,2,7.7,clear sky
201,Pemberton,CA,2022-02-01 20:26:14,50.3164,-122.8027,33.66,86,48,1.63,scattered clouds
202,Kailua,US,2022-02-01 20:26:14,21.4022,-157.7394,79.14,70,40,9.22,scattered clouds
203,Tuy Hoa,VN,2022-02-01 20:23:02,13.0833,109.3,72.46,92,97,6.71,overcast clouds
204,Ensley,US,2022-02-01 20:26:15,30.5188,-87.2728,68.41,68,20,3.0,few clouds
205,Culiacan,MX,2022-02-01 20:22:45,24.7994,-107.3897,80.15,33,0,8.05,smoke
206,The Valley,AI,2022-02-01 20:21:27,18.217,-63.0578,84.06,74,20,11.5,few clouds
207,Skjervoy,NO,2022-02-01 20:26:15,70.0311,20.9714,27.19,45,91,11.54,overcast clouds
208,Lazarev,RU,2022-02-01 20:26:16,52.225,141.5131,-1.41,90,95,6.8,overcast clouds
209,Meulaboh,ID,2022-02-01 20:26:16,4.1363,96.1285,75.31,89,96,5.19,overcast clouds
210,Sitka,US,2022-02-01 20:26:17,57.0531,-135.33,33.69,75,75,5.75,broken clouds
